Player ID,Year,Name,College,5 star recruit,POS,Height (in),Weight (lbs),BMI,Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Weight adjusted Bench,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,Speed Score,Vertical Jump Power,Broad Jump Power,Drafted,Rnd,Pick,G,Cmp,Pass_Att,Pct,Pass_Yds,Y/A,AY/A,Pass_TD,Pass_Int,Rate,Rush_Att,Rush_Yds,Rush_Avg,Rush_TDs,Rec,Rec_Yds,Rec_Avg,Rec_Tds,Pro Bowl,Players AV,Games Played,AV Per Game
2015Tyler Cierski,2015,Tyler Cierski,Maryland,0,FB,71,260,36.26,,,,4.74,,0,,,,,,103.0125118,0,0,0,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0,#N/A,0,0,0,0,0,0,0,0,0,0,0
2015Marquez Clark,2015,Marquez Clark,Central Oklahoma,0,WR,70,190,27.26,,,,4.58,,0,,,,,,86.36179981,0,0,0,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0,#N/A,0,0,0,#N/A,0,0,0,0,0,0,0
2015Kaelin Clay,2015,Kaelin Clay,Utah,0,WR,69.63,195,28.27,9,30.88,,4.51,10,11.53846154,33,113,4.26,6.97,,94.26672942,4480.758864,8291.513734,1,6,184,13,0,0,0,0,0,0,0,0,0,4,4,1,0,43,523,12.2,4,0,3,22,0.136363636
2015Sammie Coates,2015,Sammie Coates,Auburn,0,WR,73.38,212,27.68,9.38,33.38,14,4.43,23,24.41037736,41,131,4.06,6.98,11.81,110.0907808,5429.849353,9705.803625,1,3,87,25,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1643,21.65,11,0,4,44,0.090909091
2015David Cobb,2015,David Cobb,Minnesota,0,RB,70.88,229,32.04,9.38,31.63,,4.59,17,16.70305677,38.5,121,,,,103.1845646,5683.63053,10076,1,5,138,26,0,0,0,0,0,0,0,0,0,26,552,2831,5.15,20,33,336,10.15,0,1,7,0.142857143
2015Tevin Coleman,2015,Tevin Coleman,Indiana,0,RB,71.38,206,28.42,8.63,32,,4.59,22,24.02912621,,,,,,92.82104936,0,0,1,3,73,21,0,0,0,0,0,0,0,0,0,21,401,2994,7.4,27,44,334,7.9,0,34,78,0.435897436
2015Chris Conley,2015,Chris Conley,Georgia,0,WR,73.88,213,27.43,9.88,33.75,,4.35,18,19.01408451,45,139,4.3,7.06,11.65,118.9741392,5715.38975,10044.93186,1,3,76,24,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1308,16.4,12,0,22,84,0.261904762
2015Kenny Cook,2015,Kenny Cook,Gardner-Webb (NC),0,WR,75,215,26.87,,,,4.56,,0,,,,,,99.45098409,0,0,0,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0,#N/A,0,0,0,#N/A,0,0,0,0,0,0,0
2015Amari Cooper,2015,Amari Cooper,Alabama,0,WR,72.88,211,27.93,10,31.5,21,4.42,,0,33,120,3.98,6.71,,110.566452,4848.410874,9245.556771,1,1,4,39,0,0,0,0,0,0,0,0,0,6,51,16.3,0,228,3463,15.73333333,31,1,49,93,0.52688172
2015Tony Creecy,2015,Tony Creecy,North Carolina State,0,RB,71,215,29.98,,,,4.56,,0,,,,,,99.45098409,0,0,0,#N/A,0,23,0,0,0,0,0,0,0,0,0,23,230,858,3.7,6,59,339,5.85,0,0,0,0
2015John Crockett,2015,John Crockett,North Dakota State,0,RB,71.75,217,29.63,9.75,31,,4.62,15,15.55299539,40,125,4.25,7.15,,95.26246768,5489.714018,9704.535022,0,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0,#N/A,0,0,0,0,0,0,0,0,0,0,0
2015Jamison Crowder,2015,Jamison Crowder,Duke,0,WR,68.38,185,27.81,8.75,30.38,,4.56,10,12.16216216,37,115,4.32,7.17,,85.57410259,4501.244272,7935.615918,1,4,105,40,0,0,0,0,0,0,0,0,0,13,93,5.9,1,269,3478,13,22,0,32,84,0.380952381
2015DaVaris Daniels,2015,DaVaris Daniels,Notre Dame,0,WR,73.5,201,26.16,9,31.25,,4.62,13,14.55223881,37,122,,,,88.23850693,4890.541074,8880.470258,0,#N/A,0,24,0,0,0,0,0,0,0,0,0,2,-4,-2,0,80,1235,15.5,7,0,0,0,0
2015Andre Davis,2015,Andre Davis,South Florida,0,WR,73,207,27.31,,,,4.55,,0,,,,,,96.59502395,0,0,0,#N/A,0,93,0,0,0,0,0,0,0,0,0,647,3318,8.883333333,25,350,4958,13.98888889,39,0,0,0,0
2015Devante Davis,2015,Devante Davis,Nevada Las Vegas,0,WR,74.88,220,27.58,9.5,32.38,,4.57,16,16.36363636,35.5,115,4.12,7.25,11.6,100.8760054,5243.205127,9436.948659,0,#N/A,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,182,2743,15.46666667,22,0,0,0,0
2015Geremy Davis,2015,Geremy Davis,Connecticut,0,WR,74.38,216,27.45,9.5,32.25,,4.58,23,23.95833333,36.5,124,4.18,6.86,11.28,98.17973031,5219.875861,9621.096819,1,6,186,34,0,0,0,0,0,0,0,0,0,0,0,0,0,159,2219,13.66666667,7,0,0,0,0
2015Mike Davis,2015,Mike Davis,South Carolina,1,RB,69.13,217,31.92,9.38,30.25,,4.61,17,17.62672811,34,116,4.18,7,11.65,96.09173346,5061.266245,9348.646105,1,4,126,73,0,0,0,0,0,0,0,0,0,73,925,4396,4.666666667,39,139,1387,9.683333333,0,1,19,0.052631579
2015Titus Davis,2015,Titus Davis,Central Michigan,0,WR,72.75,196,26.03,8.25,29.63,,4.51,,0,32.5,119,4.28,7.14,,94.75014855,4469.487666,8552.430298,0,#N/A,0,45,0,0,0,0,0,0,0,0,0,15,113,6.45,0,204,3700,18.325,37,0,0,0,0
2015Synjyn Days,2015,Synjyn Days,Georgia Tech,0,RB,73,232,30.61,,,,4.67,,0,,,,,,97.55520779,0,0,0,#N/A,0,14,0,0,0,0,0,0,0,0,0,14,157,924,5.9,9,3,33,11,0,0,0,0
2015Andre Debose,2015,Andre Debose,Florida,1,WR,73,190,25.06,,,,4.49,,0,,,,,,93.49711981,0,0,1,7,221,#N/A,0,0,0,0,0,0,0,0,0,#N/A,0,0,0,#N/A,0,0,0,0,0,0,0
2015A.J. Derby,2015,A.J. Derby,Arkansas,0,TE,75.75,255,31.24,9.5,30.5,,4.73,15,13.23529412,,,,,,101.8886043,0,0,1,6,202,#N/A,0,0,0,0,0,0,0,0,0,#N/A,0,0,0,#N/A,0,0,0,0,3,25,0.12
2015Travis Dickson,2015,Travis Dickson,Louisiana State,0,TE,75,237,29.62,,,,4.74,,0,,,,,,93.89986653,0,0,0,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0,#N/A,0,0,0,#N/A,0,0,0,0,0,0,0
2015Stefon Diggs,2015,Stefon Diggs,Maryland,1,WR,72,195,26.44,10,31.25,,4.46,,0,35,115,4.32,7.03,,98.56555512,4614.542231,8364.56813,1,5,146,28,0,0,0,0,0,0,0,0,0,32,187,5.9,0,150,2227,15.26666667,14,1,61,86,0.709302326
2015Larry Dixon,2015,Larry Dixon,Army,0,FB,70,237,34,,,,4.78,,0,,,,,,90.79600816,0,0,0,#N/A,0,44,0,0,0,0,0,0,0,0,0,44,528,3198,6.1,26,10,161,17,0,0,0,0
2015Phillip Dorsett,2015,Phillip Dorsett,Miami (FL),0,WR,69.75,185,26.73,9.38,30.25,,4.33,13,15.81081081,37,122,4.11,6.7,,105.2567942,4501.244272,8173.567153,1,1,29,24,0,0,0,0,0,0,0,0,0,7,2,-0.7,0,94,1713,19.35,14,0,15,71,0.211267606
2015Quinton Dunbar,2015,Quinton Dunbar,Florida,0,WR,73,195,25.72,,,,4.44,,0,,,,,,100.3535468,0,0,0,#N/A,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,76,931,12.15,4,0,14,64,0.21875
2015Lemar Durant,2015,Lemar Durant,Simon Fraser (Canada),0,WR,73,231,30.47,,,,4.59,,0,,,,,,104.0857398,0,0,0,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0,#N/A,0,0,0,#N/A,0,0,0,0,0,0,0
2015Michael Dyer,2015,Michael Dyer,Louisville,1,RB,68.5,218,32.66,9.5,30.63,,4.58,26,26.83486239,34,120,,,,99.08880189,5084.590052,9552.281403,0,#N/A,0,34,0,0,0,0,0,0,0,0,0,34,534,2816,5.166666667,20,6,56,8.6,0,0,0,0
2015Jahwan Edwards,2015,Jahwan Edwards,Ball State (IN),0,RB,69.5,220,32.02,8.88,31.63,,4.8,16,16.36363636,35.5,117,4.5,7.63,12.4,82.88724923,5243.205127,9518.655367,0,#N/A,0,48,0,0,0,0,0,0,0,0,0,48,884,4558,5.125,51,57,361,5.375,0,0,0,0
2015Quinn Epperly,2015,Quinn Epperly,Princeton,0,QB,73,218,28.76,,,,4.89,,0,,,,,,76.25196727,0,0,0,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015Cody Fajardo,2015,Cody Fajardo,Nevada,0,QB,73.5,223,29.02,9.5,31.38,31,4.63,,0,32.5,118,4.1,6.95,,97.05343136,5085.182396,9689.600198,0,#N/A,0,45,878,1348,65.675,9659,7.275,7.075,57,29,135.75,636,3482,5.4,44,0,0,0,0,0,0,0,0
2015George Farmer,2015,George Farmer,Southern California,1,WR,73,220,29.02,,,,4.38,,0,,,,,,119.5518317,0,0,0,#N/A,0,10,0,0,0,0,0,0,0,0,0,2,2,1,0,25,314,12.6,4,0,0,0,0
2015Jalston Fowler,2015,Jalston Fowler,Alabama,0,FB,71,254,35.42,10.5,32.75,,4.94,23,20.37401575,33.5,114,4.4,7.56,,85.30135238,5880.525147,10847.9115,1,4,108,#N/A,0,0,0,0,0,0,0,0,0,#N/A,0,0,0,0,0,0,0,0,0,0,0
2015Clay Fuller,2015,Clay Fuller,Baylor,0,WR,73,210,27.7,,,,4.55,,0,,,,,,97.99495183,0,0,0,#N/A,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,32,512,16,3,0,0,0,0
2015Devin Funchess,2015,Devin Funchess,Michigan,0,WR,76.25,232,28.05,9.75,33.5,,4.7,17,16.48706897,38.5,122,,,,95.08818302,5758.088572,10250.09502,1,2,41,24,0,0,0,0,0,0,0,0,0,8,23,0.1,0,111,1481,13.55,10,0,22,62,0.35483871
2015Devin Gardner,2015,Devin Gardner,Michigan,0,WR,76,217,26.41,,,,4.62,,0,,,,,,95.26246768,0,0,0,#N/A,0,24,382,628,60.9,4856,7.65,6.7,31,26,132.45,263,741,2.75,15,#N/A,0,0,0,0,0,0,0
